KATEGORI,PERTANYAAN,JAWABAN,REFERENSI
Dashat,Apakah yang dimaksud DASHAT,DASHAT adalah singkatan dari Dapur Sehat Atasi Stunting. Merupakan kegiatan pemberdayaan masyarakat dalam upaya pemenuhan gizi seimbang bagi keluarga beresiko stunting melalui sumberdaya lokal yang dipadukan dengan sumberdaya/kontribusi kemitraan lainnya,Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Siapakah target DASHAT?,"Target DASHAT adalah Ibu hamil, Baduta/Balita, Ibu menyusui, dan Calon pengantin",Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Siapa pelaksana DASHAT?,"Kegiatan DASHAT diharapkan dapat menghasilkan hal-hal sebagai berikut :  1. Terpenuhinya kebutuhan gizi anak stunting, bumil/busui dan keluarga risiko stunting 2. Diperolehnya keterampilan penyiapan pangan sehat dan bergizi berbasis sumber daya lokal
 3. Meningkatnya kesejahteraan keluarga, melalui keterlibatan dalam kelompok usaha keluarga/masyarakat yang berkelanjutan

                                                                                                                                                                                                                                                                                                     ",Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Apa saja hasil yang diharapkan dari DASHAT?,,Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Apa tujuan umum kegiatan DASHAT?,Tujuan umum kegiatan DASHAT adalah meningkatkan kualitas gizi masyarakat melalui optimalisasi sumberdaya pangan lokal dalam rangka mempercepat upaya penurunan stunting di tingkat desa/kelurahan,Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Dimanakah DASHAT dilaksanakan?,"DASHAT dilaksanakan di Desa/Kelurahan, RW atau dusun atau RT terutama yang menjadi lokasi Kampung Keluarga Berkualitas(Kampung KB)",Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Dashat,Darimana sumber dana kegiatan DASHAT?,Sumber pendanaan DASHAT dapat berasal dari : 1. Modal Pribadi/Kelompok  2.Dana Desa 3. Dana Kemitraan dan CSR (Corporate Social Responsibility 4. APBD 5. DAK 6. APBN 7. Lembaga Keuangan bukan bank dan bank,Panduan Dapur Sehat Atasi Stunting di Kampung Keluarga Berkualitas
Kampung KB,Apa yang dimaksud Kampung Keluarga Berkualitas ?,"Satuan wilayah  setingkat desa dimana terdapat  integrasi dan konvergensi  penyelenggaraan pemberdayaan dan  penguatan institusi keluarga dalam  seluruh dimensinya, guna  meningkatkan kualitas sumber daya  manusia, keluarga, dan masyarakat
",Intruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Apa yang menjadi dasar hukum pelaksanaan Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas ?,Instruksi Presiden Republik Indonesia Nomor 3 Tahun 2022,Instruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Siapa saja yang diintruksikan untuk berperan aktif dalam optimalisasi penyelenggaraan Kampung Keluarga Berkualitas ?,"1. Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan
2. Menteri Dalam Negeri
3. Menteri Agama
4. Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi
5. Menteri Kesehatan
6. Menteri Sosial
7. Menteri Pekerjaan Umum dan Perumahan Rakyat
8. Menteri Kelautan dan Perikanan
9. Menteri Desa dan Pembangunan Daerah Tertinggal dan Transmigrasi
10. Menteri Perencanaan Pembangunan Nasional/Kepala Badan Perencanaan Pembangunan Nasional
11. Menteri Koperasi dan Usaha Kecil dan Menengah
12. Menteri Pemberdayaan Perempuan dan Perlindungan Anak
13. Kepala Badan Kependudukan dan Keluarga Berencana Nasional
14. Gubernur
15. Bupati/Wali Kota
",Instruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,"Berdasarkan Inpres Nomor 3 Tahun 2022, pengoptimalan penyelenggaran Kampung Keluarga Berkualitas dilakukan melalui apa saja ?","1. Penyediaan data keluarga dan dokumen kependudukan; 
2. perubahan perilaku keluarga;
3. peningkatan cakupan layanan dan rujukan pada keluarga;                                                                                                                                                  4. Penataan lingkungan keluarga",Instruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Kementrian/ Lembaga mana saja yang berperan dan bertanggungjawab terhadap penyediaan data keluarga dan dokumen kependudukan di Kampung Keluarga Berkualitas ?,"1. BKKBN
2. Kementerian Dalam Negeri
3. Kementrian Desa dan Pembangunan Daerah Tertinggal dan Transmigrasi
4. Pemerintah Provinsi 
5. Pemerintah Kabupaten/ Kota
6. Pemerintah Desa
",Intruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Kementrian/ Lembaga mana saja yang berperan dan bertanggungjawab terhadap perubahan perilaku keluarga di Kampung Keluarga Berkualitas ?,"1. Kementerian Kesehatan 
2. BKKBN 
3. Kementerian Agama
4. Menteri Pemberdayaan Perempuan dan Perlindungan Anak
",Intruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Kementrian/ Lembaga mana saja yang berperan dan bertanggungjawab terhadap peningkatan cakupan dan rujukan pada keluarga di Kampung Keluarga Berkualitas ?,"1. BKKBN
2. Kementerian Kesehatan 
3. Kementerian Dalam Negeri 
4. Kementerian Sosial 
5. Pemerintah Provinsi 
6. Pemerintah Kabupaten/ Kota 
7. Kementerian pendidikan dan kebudayaan 
8. Kementerian Agama
9. Kementerian Koperasi dan Usaha Kecil dan Menengah
10. Kementerian Kelautan dan Perikanan
",Intruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Kementrian/ Lembaga mana saja yang berperan dan bertanggungjawab terhadap penataan lingkungan keluarga di Kampung Keluarga Berkualitas ?,"1. Kementerian Pekerjaan Umum dan Perumahan Rakyat
2. Kementerian Desa dan Pembangunan Daerah Tertinggal dan Transmigrasi
3. Pemerintah Daerah ",Intruksi Presiden Republik Indonesia Nomor 3 Tahun 2022
Kampung KB,Seperti apakah struktur pokja Kampung Keluarga Berkualitas di tingkat Desa/ Kelurahan ?,"Struktur pokja Kampung Keluarga Berkualitas di tingkat Desa/ Kelurahan minimal terdiri atas : 1. Pengarah, 2. Pelaksana, 3. Seksi Penyediaan Data dan Dokumen Kependudukan, 4. Seksi Perubahan Perilaku Keluarga, 5. Seksi Peningkatan Cakupan Pelayanan dan Rujukan pada Keluarga, 6. Seksi Penataan Lingkungan Keluarga dan Masyarakat",Materi (ppt) orientasi Kampung KB dari Direktorat Analisis Kependudukan BKKBN Pusat
Kampung KB,Bagaimana cara untuk melihat profil Kampung Keluarga Berkualitas ?,Profil Kampung Keluarga Berkualitas (KKB) dapat dilihat di situs : kampungkb.bkkbn.go.id.,Materi (ppt) orientasi Kampung KB dari Direktorat Analisis Kependudukan BKKBN Pusat
Kampung KB,Apa yang dimaksud dengan pencatatan dan pelaporan Kampung Keluarga Berkualitas ?,"Kegiatan mendokumentasikan seluruh kegiatan yang dilaksanakan di Kampung Keluarga berkualitas, baik dalam bentuk tulisan, gambar, video dan mengunggahnya di website Kampung Keluarga Berkualitas melalui tautan https://kampungkb.bkkbn.go.id  
",Materi (ppt) Kampung KB dari Direktorat Analisis Kependudukan BKKBN Pusat
Kampung KB,Apa yang dimaksud dengan Kelompok Kerja (Pokja) Kampung Keluarga Berkualitas ?,"Pokja Kampung Keluarga
Berkualitas adalah sekumpulan orang yang terpilih dan
mewakili unsur masyarakat di Kampung Keluarga
Berkualitas yang bertugas melaksanakan penggerakan
individu, keluarga, dan masyarakat. ",Peraturan Kepala BKKBN Nomor 20 Tahun 2023
Kampung KB,Bagaimanakah cara Pembentukan Kampung Keluarga Berkualitas di wilayah setingkat desa/kelurahan,"Pembentukan Kampung Keluarga Berkualitas di wilayah
setingkat desa/kelurahan dilakukan melalui kegiatan:
a. sosialisasi;
b. koordinasi;
c. penetapan kebijakan;
d. penyiapan sumber daya manusia; dan
e. pembentukan Pokja Kampung Keluarga Berkualitas.",Peraturan Kepala BKKBN Nomor 20 Tahun 2023
Kampung KB,Siapa yang melakukan pencatatan dan pelaporan Kampung Keluarga Berkualitas ?,"Pencatatan dan pelaporan Kampung Keluarga Berkualitas dapat dilakukan oleh : 1). Pokja Kampung KB, 2). Penyuluh KB dan PLKB berdasarkan hasil pencatatan yang dilakukan oleh Pokja Kampung Keluarga Berkualitas., 3). Apabila tidak tersedianya Penyuluh KB dan PLKB pada desa/kelurahan Kampung Keluarga Berkualitas, pencatatan dan pelaporan dilakukan oleh petugas yang diberi wewenang oleh perangkat daerah yang membidangi urusan pengendalian penduduk dan/atau keluarga berencana berdasarkan hasil pencatatan yang dilakukan oleh Pokja Kampung Keluarga Berkualitas",Peraturan Kepala BKKBN Nomor 20 Tahun 2023
Kampung KB,Berapa kali pencatatan dan pelaporan Kampung Keluarga Berkualitas dilakukan ?,Pencatatan dan Pelaporan dilaksanakan paling sedikit 1 (satu) kali dalam 1 (satu) bulan melalui website Kampung Keluarga Berkualitas https://kampungkb.bkkbn.go.id/.,Peraturan Kepala BKKBN Nomor 20 Tahun 2023
Kampung KB,Pendanaan penyelenggaraan Kampung Keluarga Berkualitas bersumber dari mana ?,"Pendanaan penyelenggaraan Kampung Keluarga Berkualitas bersumber dari: 1). anggaran pendapatan dan belanja negara, 2). anggaran pendapatan dan belanja daerah; dan/atau, 3). sumber lain yang sah dan tidak mengikat sesuai dengan ketentuan peraturan perundang-undangan.",Peraturan Kepala BKKBN Nomor 20 Tahun 2023
